exec_id,run_id,config,exit_code,started_at,finished_at,log,status
"att_fwd_128__2026-02-26T15-21-52+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_10.toml","0","2026-02-26T15:21:52+00:00","2026-02-26T19:35:43-08:00","logs/transcripts/att_fwd_128__2026-02-26T15-21-52+00-00.log","logs/status/att_fwd_128__2026-02-26T15-21-52+00-00.status"
"att_fwd_128__2026-02-27T03-35-43+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_11.toml","0","2026-02-27T03:35:43+00:00","2026-02-27T07:50:14-08:00","logs/transcripts/att_fwd_128__2026-02-27T03-35-43+00-00.log","logs/status/att_fwd_128__2026-02-27T03-35-43+00-00.status"
"att_fwd_128__2026-02-27T15-50-14+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_12.toml","0","2026-02-27T15:50:14+00:00","2026-02-27T20:05:07-08:00","logs/transcripts/att_fwd_128__2026-02-27T15-50-14+00-00.log","logs/status/att_fwd_128__2026-02-27T15-50-14+00-00.status"
"att_fwd_128__2026-02-28T04-05-07+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_13.toml","0","2026-02-28T04:05:07+00:00","2026-02-28T08:20:53-08:00","logs/transcripts/att_fwd_128__2026-02-28T04-05-07+00-00.log","logs/status/att_fwd_128__2026-02-28T04-05-07+00-00.status"
"att_fwd_128__2026-02-28T16-20-53+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_14.toml","0","2026-02-28T16:20:53+00:00","2026-02-28T20:37:00-08:00","logs/transcripts/att_fwd_128__2026-02-28T16-20-53+00-00.log","logs/status/att_fwd_128__2026-02-28T16-20-53+00-00.status"
"att_fwd_128__2026-03-01T04-37-01+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_15.toml","0","2026-03-01T04:37:00+00:00","2026-03-01T08:53:51-08:00","logs/transcripts/att_fwd_128__2026-03-01T04-37-01+00-00.log","logs/status/att_fwd_128__2026-03-01T04-37-01+00-00.status"
"att_fwd_128__2026-03-01T16-53-51+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_16.toml","0","2026-03-01T16:53:51+00:00","2026-03-01T21:11:02-08:00","logs/transcripts/att_fwd_128__2026-03-01T16-53-51+00-00.log","logs/status/att_fwd_128__2026-03-01T16-53-51+00-00.status"
"att_fwd_128__2026-03-02T05-11-02+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_17.toml","0","2026-03-02T05:11:02+00:00","2026-03-02T09:28:49-08:00","logs/transcripts/att_fwd_128__2026-03-02T05-11-02+00-00.log","logs/status/att_fwd_128__2026-03-02T05-11-02+00-00.status"
"att_fwd_128__2026-03-02T17-28-49+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_18.toml","0","2026-03-02T17:28:49+00:00","2026-03-02T21:47:07-08:00","logs/transcripts/att_fwd_128__2026-03-02T17-28-49+00-00.log","logs/status/att_fwd_128__2026-03-02T17-28-49+00-00.status"
"att_fwd_128__2026-03-03T05-47-07+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_19.toml","0","2026-03-03T05:47:07+00:00","2026-03-03T10:06:06-08:00","logs/transcripts/att_fwd_128__2026-03-03T05-47-07+00-00.log","logs/status/att_fwd_128__2026-03-03T05-47-07+00-00.status"
"att_fwd_128__2026-03-03T18-06-06+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_2.toml","0","2026-03-03T18:06:06+00:00","2026-03-03T10:21:30-08:00","logs/transcripts/att_fwd_128__2026-03-03T18-06-06+00-00.log","logs/status/att_fwd_128__2026-03-03T18-06-06+00-00.status"
"att_fwd_128__2026-03-03T18-21-30+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_20.toml","0","2026-03-03T18:21:30+00:00","2026-03-03T22:40:53-08:00","logs/transcripts/att_fwd_128__2026-03-03T18-21-30+00-00.log","logs/status/att_fwd_128__2026-03-03T18-21-30+00-00.status"
"att_fwd_128__2026-03-04T06-40-53+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_3.toml","0","2026-03-04T06:40:53+00:00","2026-03-04T00:37:40-08:00","logs/transcripts/att_fwd_128__2026-03-04T06-40-53+00-00.log","logs/status/att_fwd_128__2026-03-04T06-40-53+00-00.status"
"att_fwd_128__2026-03-04T08-37-40+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_4.toml","0","2026-03-04T08:37:40+00:00","2026-03-04T06:24:44-08:00","logs/transcripts/att_fwd_128__2026-03-04T08-37-40+00-00.log","logs/status/att_fwd_128__2026-03-04T08-37-40+00-00.status"
